# Age      Mass       Teff       logL       logg       logR
4.4918e+07 4.6638e-01 2.6843e+04 1.2213e+00 5.5556e+00 -7.2439e-01
4.4996e+07 4.6638e-01 2.6842e+04 1.2214e+00 5.5554e+00 -7.2429e-01
4.5072e+07 4.6638e-01 2.6842e+04 1.2216e+00 5.5552e+00 -7.2419e-01
4.5146e+07 4.6638e-01 2.6842e+04 1.2217e+00 5.5550e+00 -7.2410e-01
4.5219e+07 4.6638e-01 2.6841e+04 1.2219e+00 5.5548e+00 -7.2401e-01
4.5292e+07 4.6638e-01 2.6841e+04 1.2220e+00 5.5547e+00 -7.2393e-01
4.5365e+07 4.6638e-01 2.6840e+04 1.2221e+00 5.5545e+00 -7.2386e-01
4.5439e+07 4.6638e-01 2.6839e+04 1.2222e+00 5.5544e+00 -7.2378e-01
4.5511e+07 4.6638e-01 2.6839e+04 1.2223e+00 5.5542e+00 -7.2369e-01
4.5583e+07 4.6638e-01 2.6838e+04 1.2225e+00 5.5540e+00 -7.2361e-01
4.5653e+07 4.6638e-01 2.6837e+04 1.2226e+00 5.5539e+00 -7.2352e-01
4.5721e+07 4.6638e-01 2.6837e+04 1.2227e+00 5.5537e+00 -7.2344e-01
4.5788e+07 4.6638e-01 2.6836e+04 1.2229e+00 5.5535e+00 -7.2336e-01
4.5855e+07 4.6638e-01 2.6836e+04 1.2230e+00 5.5534e+00 -7.2328e-01
4.5920e+07 4.6638e-01 2.6835e+04 1.2231e+00 5.5532e+00 -7.2320e-01
4.5985e+07 4.6638e-01 2.6835e+04 1.2232e+00 5.5531e+00 -7.2312e-01
4.6049e+07 4.6638e-01 2.6834e+04 1.2234e+00 5.5529e+00 -7.2305e-01
4.6113e+07 4.6638e-01 2.6834e+04 1.2235e+00 5.5528e+00 -7.2297e-01
4.6176e+07 4.6638e-01 2.6833e+04 1.2236e+00 5.5526e+00 -7.2290e-01
4.6238e+07 4.6638e-01 2.6833e+04 1.2237e+00 5.5525e+00 -7.2282e-01
4.6299e+07 4.6638e-01 2.6832e+04 1.2238e+00 5.5523e+00 -7.2275e-01
4.6360e+07 4.6638e-01 2.6832e+04 1.2239e+00 5.5522e+00 -7.2268e-01
4.6420e+07 4.6638e-01 2.6831e+04 1.2240e+00 5.5520e+00 -7.2261e-01
4.6479e+07 4.6638e-01 2.6831e+04 1.2242e+00 5.5519e+00 -7.2253e-01
